review_id,platform,rating,review_text,user_name,date,app_version
R001,Google Play,1,App crashes every time I try to open the task manager after the latest update. Happens on my Pixel 7 running Android 14. Already tried reinstalling but no luck.,priya_sharma,2026-05-10,3.0.1
R002,App Store,2,Since updating to 3.0.1 I can't login at all. It just shows a blank white screen after entering my password. iPhone 13 iOS 17.4,rahul_mehta,2026-05-12,3.0.1
R003,Google Play,4,Would love a dark mode option. I use this app at night and the bright white background is really harsh on the eyes. Please consider adding it!,ananya_iyer,2026-05-13,2.9.5
R004,App Store,5,Absolutely love this app. It has completely transformed how I manage my daily tasks. The reminder system is perfect. Keep up the great work!,james_torres,2026-05-14,3.0.1
R005,Google Play,3,The app is good overall but it feels slow when loading large task lists. Sometimes takes 4-5 seconds just to open a project with 50+ tasks.,sneha_rao,2026-05-15,3.0.1
R006,App Store,1,Data sync between my iPhone and iPad stopped working after the update. I lost two days worth of tasks. This is unacceptable for a productivity app.,david_kim,2026-05-16,3.0.1
R007,Google Play,4,Please add a calendar integration with Google Calendar. It would be so much more useful if tasks could sync directly to my calendar.,fatima_noor,2026-05-17,2.9.5
R008,App Store,5,Best productivity app I have used. Clean UI intuitive design and the collaboration features work flawlessly with my remote team.,lucy_chen,2026-05-18,3.0.1
R009,Google Play,2,The subscription price went up by 40% with no new features. Very disappointing. Considering switching to a competitor.,arjun_patel,2026-05-19,3.0.1
R010,App Store,1,BUY CHEAP FOLLOWERS HERE visitspamsite123.com BEST PRICES GUARANTEED amazing deals click now,spam_bot_99,2026-05-20,1.0.0
